Deciles,prob,prob,actual,actual,actual
9,0.9999999747324122,0.9999267494646383,10390.0,6.0,10396
8,0.9999267404024617,0.9996060253887968,10387.0,9.0,10396
7,0.9996059608863173,0.9956821943033416,10375.0,21.0,10396
6,0.9956819946587967,0.8182016001845057,9525.0,871.0,10396
5,0.8181702341372706,0.36541952727230564,7188.0,3208.0,10396
4,0.3653487590541168,0.11030862787298884,1283.0,9113.0,10396
3,0.11029639003257741,0.018525625821150686,850.0,9546.0,10396
2,0.018521259752032174,0.0019848289051443333,48.0,10348.0,10396
1,0.0019847851431034824,0.00045359309759985286,1.0,10395.0,10396
0,0.00045348954913359375,1.7479430814153533e-05,0.0,10397.0,10397
