,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_Yes
duration,1.0,0.03175352964136435,0.022298201496243345,,,,0.014878983802400648,,-0.0702256339484807,0.04804038711216568,,,,,,,,,0.008038190719904135,-0.10224276541914429,-0.05102137989851387,-0.0835550802011148,-0.08326289597016012,0.12568320221569906,0.12748946625808985,0.09165811039354649,-0.008859437197715581,-0.051222897577971216,0.06184884941089227,-0.10791526541407985,-0.11386697989524328,0.2701540015918491,0.22164716870618753,-0.03644653983916756,-0.05932476973629412,-0.05630145534914665,0.11133447631706261,0.12095308370581714,-0.037575362438602114,0.07350637456523039,0.018060071159606256,-0.01087048743797953,-0.0005421336277988444,-0.01159262590315761,-0.0097874245930347,-0.00992493315490701,-0.008353956524868273,-0.008570997782771353,-0.007174237755746673,-0.0073214678990707145,-0.00844190729607841,-0.03760575988608396,-0.0063649927686974875,-0.02713790262937804,-0.024032720473802,-0.007802137012682067,-0.0076385047045314895,-0.01630598174450739,0.003106714762416083,-0.022916490605828354,-0.008108461432900508,-0.0005421336277982445,-0.007466957723500691,-0.09339626940975311,-0.00038334507393273325,-0.009136587473052108,-0.0005421336277989737,-0.011140197895108972,-0.009630291076580253,-0.007178939917925566,-0.005710112964509914,-0.007951429650861165,-0.007782574749654075,-0.007189116274968567,-0.007348633309869006,-0.007515404064343091,-0.006931267617644831,-0.006421262627923594,-0.0063520729088220144,-0.006454538229533914,-0.00995744491912146,-0.0056296213607891195,-0.004967910661809346,0.30002898197922284,-0.0017568261146140767,-0.0014189273076166515,-0.012929049273761454,-0.0010452033319984,0.008988340256911182,-0.0010842891584358493,-0.0014547133056787933,-0.0015193430535497497,-0.001068589093055703,-0.03422949243803967,-0.004906723269464771,-0.00587124759806974,-0.008001994753838611,-0.008284006833037413,-0.007716693001416026,0.20660987818001209,-0.0007666978914954734,-0.0014344087077424105,-0.008453383206151343,-0.0012122802957975443,-0.00960382364192047,-0.010332318297265601,-0.009629712571207732,-0.009038653210810361,-0.009614001183618166,-0.049663483228202875,-0.009222251438685934,0.016897167579978594,0.41305865656852225,-0.08488726460269613,-0.007541316773693717,0.00629804469008881,0.023341597054019718,-0.0144232661637235,-0.007118216502586965,0.030004294224989392
src_bytes,0.03175352964136435,1.0,0.11310628107017338,,,,0.4281179016091565,,0.1562361840998428,0.5599969435556204,,,,,,,,,-0.009997189173008238,-0.10736289731888811,-0.03276319741942336,-0.10052299992129922,-0.09987757820931979,0.009542764125988333,0.01645072105164767,0.12776466024331068,-0.04621931864387636,-0.0017050220072335103,-0.046311266581312,0.033591466267055156,0.09389337029883826,-0.044369158515486416,0.021613189159214022,-0.01907848728274269,-0.10155826231767333,-0.1013007080279566,-0.03504603287717513,-0.03710012319283713,0.0713645735845669,-0.06291231723608808,0.10288547806685908,-0.014168939753916351,-0.0006633180323439399,-0.015016849374467291,-0.012929225622957457,-0.013083036744640404,-0.011308130286330664,-0.01155065768890164,-0.011010068213466777,-0.010336339923043171,-0.01158818158777227,-0.04674122405804513,-0.01019527991625374,-0.030440676301774574,-0.006548718411554385,-0.010693670918606771,-0.010516031189639284,-0.02010247041448255,-0.014100755543573045,0.1984318359230965,-0.011039947111930976,-0.0006633180323434112,-0.010324858481816815,0.08513194337652959,-0.0004690350996705736,-0.011179985206297224,-0.0006633180323436698,-0.0144146571141499,-0.012747482205933696,-0.01000911985382166,-0.008438726088714531,-0.009728831417015126,-0.01067293462529824,-0.010046601056186875,-0.010195379043873472,-0.01037833762295689,-0.009740179379269208,-0.009191007325029739,-0.009118213670282805,-0.009227026799472694,-0.012186339737344528,-0.008359086211243283,-0.00603205031938317,-0.018579744021143485,-0.002077346889837064,-0.0044751780059393495,-0.01651624528917511,-0.004195533022334439,-0.08372459864162778,-0.0012345198899402863,-0.004500168212637545,-0.004548851544253967,-0.0020440409834632254,0.0233643242291562,-0.007613167233224294,-0.008556295801063983,-0.010918929789786857,-0.011229432928190444,-0.010600042599541719,-0.02463859144817711,-0.0009373636954194649,-0.0010448137569877666,-0.012348949694274011,-0.0014371883303467218,-0.010571424675590805,-0.013550330668884366,-0.01274748220593479,-0.012076538943827896,-0.012730040701918287,-0.06077186699103188,-0.021082574671242336,0.004722507517376368,0.1736014415606287,-0.10386041351721431,0.03417006841849432,0.010168664861168075,0.009026535848705481,0.0796886501211003,-0.00870936817454314,0.04286842619404342
dst_bytes,0.022298201496243345,0.11310628107017338,1.0,,,,0.1454709388562625,,0.4179629247280029,0.2399043324808276,,,,,,,,,0.012609779651424907,-0.23185106004922687,-0.08666818074676585,-0.18993215825585125,-0.19038224616433116,-0.1315162321477572,-0.1273867657434732,0.26282874562896336,-0.11421873636089575,0.01327278724877376,-0.21043751395351715,0.31799730083287786,0.30640757796395895,-0.1312522167854466,-0.08071676977498293,-0.01216962032367541,-0.19668275670756824,-0.19622622352326669,-0.13447974741388494,-0.12371642779218851,0.16172855404739322,-0.12373431683843618,0.09285367265828488,-0.027842361239002064,-0.0013034373109463762,-0.029369613072171546,-0.02540629271431896,-0.02570853529951437,-0.02222080155088807,-0.02269737364033963,-0.021634526868481427,-0.02192996682313407,-0.022180833827627717,-0.08922502262916744,-0.02003403103770648,-0.06524692993428642,-0.057781223932502644,-0.021013374466199913,-0.02066449714967384,-0.03869379635015695,-0.00038731615710272126,-0.07595158948266652,-0.02168336864077875,-0.0013034373109456075,-0.02028864946425289,0.423739343380894,-0.0009216662584863309,-0.02196896381994048,-0.0013034373109481337,-0.027407741369072994,-0.025049162500593754,-0.019668215793505313,-0.016582357022890123,-0.019117408607174764,-0.02097262716635131,-0.018758603827779656,-0.020034219381155682,-0.02039373721352106,-0.01913974162282197,-0.018060606167670214,-0.017918217973152767,-0.018131385238799425,-0.023946476837645475,-0.01642728681229511,-0.01186805105552186,-0.0657848197807864,-0.003178896035085851,-0.008773831857665242,-0.02271038982430904,-0.008236470867623295,-0.1646636614481351,-0.0026069272822983923,-0.008843021794125027,-0.008938685031954326,-0.008277954478811335,-0.06375677186258202,-0.01496011647554263,-0.015148617866289255,-0.021456559296681096,-0.02206615938413762,-0.020829392637984945,0.06574052447724456,-0.0018433511347689647,-0.0034487103048972943,-0.024258007596262704,-0.0029146529339804934,-0.023090215070098674,-0.026626822356130946,-0.02504916250059545,-0.023730742844603057,-0.02501488952362721,-0.11941831071886816,-0.040051689237373504,-0.009447577238776771,-0.024563157947632572,-0.20409216885672307,0.12840653868782634,0.03991942771577438,-0.008491249594597069,0.2585155867119533,-0.017114136628158493,-0.29295705807938976
land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrong_fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,0.014878983802400648,0.4281179016091565,0.1454709388562625,,,,1.0,,0.1838322901273861,0.5484459739979315,,,,,,,,,0.6915158602388277,-0.10866012559350643,-0.052815051792620915,-0.08564530840851617,-0.08580266609581662,-0.04310682191223073,-0.037084501684038026,0.11252563945188161,-0.037712677027282045,-0.016964170047180586,-0.02737081278953422,-0.025837961208977595,0.025838102088412633,-0.018097643366508043,-0.04553672199791461,-0.0375461123338156,-0.08583232305854331,-0.08873942465587059,-0.032557241701409376,-0.046975922843155195,0.07385956620398172,-0.057545199702452456,-0.0028850714428682324,-0.012297042069945923,-0.0005756847743848676,-0.013058452215805968,-0.01122111187580094,-0.011354602342129162,-0.009814186704665542,-0.010024672696992542,-0.00955558270586469,-0.009685734708372768,-0.009804358343982031,-0.04200802578181521,-0.008848446310055155,-0.028817392154708073,-0.025520038887913467,-0.009280906444105206,-0.009126818972770604,-0.01585016785038917,0.5998402613535149,-0.022256095171379348,-0.009207967470921884,-0.0005756847743849393,-0.008960819589354881,0.03439903563565922,-0.00040706923732735685,-0.009702958380894995,-0.0005756847743836567,-0.011467535259752052,-0.011063379375108987,-0.00868679473617945,-0.00732387386897996,-0.008443521578231883,-0.009262909721167318,-0.008725096490649538,-0.00884844631005477,-0.009007233342216658,-0.008453385326181926,-0.007976767198259222,-0.007913879083098048,-0.00800802795258738,-0.010576359906083174,-0.007255384530471527,-0.005434220207490589,-0.028635159708256412,-0.0018655512101963187,-0.0038843701652253194,-0.014398366398079824,-0.0036419066920335675,-0.07320301680090524,-0.001151392807113172,-0.0039056677016205913,-0.003947918962212367,-0.0036646102629961205,-0.0338667719465082,-0.0066073843411257145,-0.00700322883263965,-0.008720846456503364,-0.009745886418836832,-0.00919964780867227,0.0091868167780399,-0.000814146697521431,-0.0015231802842526016,-0.00904532682850732,-0.0012873049609888024,-0.01019817765038823,-0.011760419601624708,-0.011063379375110764,-0.010481077398788827,-0.011048242144624493,-0.05274308375749118,-0.0070276715703905404,-0.004172679672059397,0.01155382073061187,-0.08977212138021601,0.006734370929775118,0.06726967370764486,-0.003984407005972932,0.10634613826690421,-0.0066124252142259745,0.05318567300969955
num_failed_logins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logged_in,-0.0702256339484807,0.1562361840998428,0.4179629247280029,,,,0.1838322901273861,,1.0,0.12926158081860875,,,,,,,,,0.1232295440720094,-0.5307800742972723,-0.1990699447893802,-0.46649246372434405,-0.4649519427840203,-0.29462927529978966,-0.29134914275189866,0.5906268923475183,-0.22117245005543437,0.1220036480997733,-0.3859850596911633,0.6181500573070913,0.5988292691525441,-0.2569115209321552,-0.1772219030457681,-0.05070906904148577,-0.4658055380298583,-0.4685296793905147,-0.290705027134801,-0.2946900553256166,0.38665770089541607,-0.3012513579228821,0.005390239099227879,-0.06437549337148438,-0.003013732177762993,-0.043119328110656614,-0.05874295697077631,-0.059441784752225967,-0.05137764899561854,-0.05247955134956433,-0.04979762896305361,-0.050481996933879336,-0.045507763334780814,-0.21991364833013222,-0.04607779260446465,-0.1508601684118798,-0.13359839585197153,-0.04858590609629982,-0.04777925219276458,-0.09356350657359828,0.08260192420459136,0.05458164472291895,-0.04903282262342982,-0.0030137321777626014,-0.04691023896603749,0.7084189083921585,-0.0021310232851452057,-0.05079536439584258,-0.003013732177764248,-0.06513837519553013,-0.05791722119650923,-0.045475708205012524,-0.03834076447217986,-0.044202163764186446,-0.04849169255218212,-0.04443822926711789,-0.046321960479682185,-0.0471532167669808,-0.04425380086817409,-0.04175868643665597,-0.041156635746348175,-0.04192233770100287,-0.055367655339990385,-0.03649486871763606,-0.028448354080405903,-0.13718598969533555,-0.00976623312200505,-0.01978004778448044,0.08295910376514543,-0.018473850836367916,-0.383626738109054,-0.006027586113860889,-0.020446322278622035,-0.020667509270685138,-0.018008355931897535,0.27121187767804456,-0.03458991393519808,-0.034836799088237454,-0.049610612365815814,-0.051020094343666736,-0.04816051398034014,-0.05634227370998239,-0.004262089617291848,-0.007973908012569711,-0.05550205825849115,-0.006739091523927916,-0.053387856526671724,-0.06082962774312766,-0.057917221196519035,-0.054868847709365745,-0.05783797720627313,-0.2761120942341938,-0.07399690262595238,-0.021844140325960243,-0.052190267971051,-0.471858299162182,0.04678848046822523,0.028785542989979863,-0.021484643725117828,0.6224154714640493,-0.039570314443070215,-0.6641173092105582
num_compromised,0.04804038711216568,0.5599969435556204,0.2399043324808276,,,,0.5484459739979315,,0.12926158081860875,1.0,,,,,,,,,-0.011268667236722383,-0.07281567303278833,-0.03397011091467106,-0.059260245172356764,-0.05918642313662855,-0.025724588807910235,-0.01702855637201753,0.0781719560953749,-0.03335062554443354,-0.0028134870544466515,-0.01817743750211108,0.0151979159861346,0.06459761088495644,-0.02979106065575136,-0.03747049943878285,-0.018469655445921978,-0.04701086545544328,-0.05025494064934666,-0.02811123156106896,-0.02606548402093715,0.04997998565377547,-0.03894022674897535,-0.0025847957757359017,-0.008321278039193924,-0.0003895597854638639,-0.0003015650998224219,-0.007593207480012574,-0.007683539063756944,-0.006641156127943722,-0.006783589768097393,-0.006466161542758419,-0.006554234023413415,-0.006873223120759488,-0.028426385826831786,-0.005987649838253872,-0.019500423851520992,-0.017269139842685185,-0.006280291027535875,-0.006176021668800084,-0.0120941667666703,-0.013736955932869034,-0.024263931407836954,-0.006483870310572787,-0.00038955978546320933,-0.006063691645340835,0.09562639453060132,-0.00027545943860174654,-0.006565889100036331,-0.0003895597854648613,-0.006924381688705107,-0.007486471568540863,-0.005878261931424351,-0.004955987825478331,-0.005713641563782196,-0.006268112835871515,-0.004747342964734071,-0.005987649838254039,-0.006095099339979244,-0.0057203162574709105,-0.005397793821709109,-0.005355238100742188,-0.005418947642870957,-0.007156910655473477,-0.004909641815965073,-0.0036772792201137726,-0.02021469711943749,-0.0012623987319952594,-0.0026285121225188566,-0.00921642668348633,-0.0024644396599423422,-0.04961595563457421,-0.0007791353096028976,-0.002642923939662126,-0.0026715149199141204,-0.0024798029257936476,-0.023219301403392584,-0.0044711469556313515,-0.005062492993404808,-0.006412746179797011,-0.006594938048412451,-0.006225304170156398,0.13889621233615837,-0.0005509244415232814,-0.0010307199550104154,-0.007252570240452402,-0.0008711056236662972,-0.006900998731201715,-0.007958151302254534,-0.007486471568540098,-0.007092433992668572,-0.007476228365048057,-0.03569068578389328,-0.011869679300084746,-0.0028236081101760415,0.010141126620951516,-0.060997257671663446,0.017257672502385676,-0.0012086559782113846,-0.0033265455502060775,0.07531963574519099,-0.005114921398408088,0.06016368131120241
