,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_class_Normal,attack_class_Probe,attack_class_R2L,attack_class_U2R
duration,1.0,0.011739747954223211,0.036892202512224435,,,,0.021273730544883823,,-0.06453668309289742,0.06208115847637733,,,,,,,,,,-0.0992430564177662,-0.05030889819196778,-0.0875128318221797,-0.08714560359762852,0.17310830128985177,0.17360683357409845,0.08586746185084969,0.0016087194798729428,-0.050098508658560935,0.05429549579435327,-0.13598122415511682,-0.1395036190501736,0.3235048194491374,0.2766016807084021,-0.03425982009297422,-0.07825127846610629,-0.07795469872206616,0.1503036965393798,0.17109927957735,-0.05332735264916518,0.09206440751655728,0.011867665148104892,-0.010648490270183181,-0.0005516283995278876,-0.011262559496213706,-0.009491997681485096,-0.009685725576574895,-0.0080662343540399,-0.008233701560959511,-0.006754407980533639,-0.0069341142754874375,-0.008286545054598714,-0.03655004113175368,-0.005767678792631764,-0.026909017653830285,-0.02190593434901165,-0.007484893924899984,-0.007370627603696134,-0.01588785543100768,0.0026971285565510488,-0.022960690374293647,-0.007803890203401174,-0.0005516283995275316,-0.0072288560490206604,-0.09447445358086912,-0.000390058633793805,-0.008997843081915634,-0.0005516283995266817,-0.0089574196796999,-0.009307939532605135,-0.00694353626763414,-0.0053250539915262575,-0.00791093824228557,-0.007383188978795539,-0.006872908371855316,-0.007007243735962821,-0.007134523391164796,-0.0066347912063575145,-0.005950054626721214,-0.00613242737875664,-0.0061091647421996674,-0.009812361255250061,-0.005279623091931385,-0.004907246104422226,0.3527110482225847,-0.0008722114681899571,-0.0006482172731354722,-0.004770357581141198,-0.00027015555202495494,0.03588889773683477,-0.0011032830740577498,-0.0006528765050347941,-0.00095866857875102,-7.200788639162213e-05,-0.03314426569414433,-0.004533960025210684,-0.0054750425812873345,-0.006355634303198787,-0.008057405151820934,-0.007403303951200944,0.09297309961296489,-0.0006756067348353957,-0.0011032830740572719,-0.00805397768700986,-0.001233517768591122,-0.009593268684474323,-0.010041030938299885,-0.009323706844096072,-0.008717202261629418,-0.009355948204128743,-0.0433110534402965,-0.003732938618984701,0.020369114501815524,0.49764110578314397,-0.08561757204881897,-0.007462849602874819,-0.004180180283161735,0.004280001036148077,-0.03473117881303738,-0.0064280679527043616,-0.009284248721068134,0.17988089631470522,0.03393967064283996,-0.0013123452814506717
src_bytes,0.011739747954223211,1.0,0.12782669198258612,,,,0.3799728351445703,,0.16327494066039974,0.6033630376924559,,,,,,,,,,-0.10526978623284255,-0.03608301504759391,-0.10018832793879152,-0.0995066008271959,-0.044664043845752226,-0.033163488220466844,0.11927980390855535,-0.035557235151811695,0.011233903305123371,-0.07304444184339073,5.552897464171576e-05,0.06803227201655605,-0.036770693033115004,0.01729987406411936,-0.030134481092463843,-0.09958408575735764,-0.09996209871081503,-0.04525049405996444,-0.047173545395635334,0.06688854922865231,-0.05743459808107881,0.11759968534948376,-0.013922356760542584,-0.0006683240225546179,-0.014624358627378646,-0.012627708220376779,-0.012840591270496608,-0.011056243399126921,-0.01123814747040072,-0.010808906537373842,-0.009902910660565882,-0.011264563725281323,-0.04460000009283368,-0.009861797730896129,-0.03222817369621727,-0.0039163901238178376,-0.010427405512714706,-0.01030789938615534,-0.01935682261870912,-0.00707086606933102,0.20417269743041933,-0.010777248452597418,-0.000668324022553957,-0.010154089948542805,0.05278058654785248,-0.00047257457265511773,-0.010902399236394803,-0.0006683240225555538,-0.011902624777860487,-0.012420350311525856,-0.009850522657956325,-0.008181234229376486,-0.009584477653452207,-0.010318935001703042,-0.009798656705254337,-0.009918773613945836,-0.010053904899121696,-0.009525643941630064,-0.008815178651845692,-0.009003796472215263,-0.008979251732498557,-0.011891252326984443,-0.008139188991446921,-0.0058435527206514215,-0.009996752078508775,-0.0010115619616497325,-0.004174265886168337,-0.0073203002031809235,-0.003925508902338111,-0.0760466360436801,-0.0012185272891458605,-0.004174889781171592,-0.004383906075282653,-0.0006928258276461958,0.03858305490319698,-0.007404106880628379,-0.008259047657134954,-0.009237784451055768,-0.011046051329826688,-0.010340718742413768,-0.016092587010602122,-0.0008177345915313665,-0.0006811602239981909,-0.012116435521258689,-0.0014353834648335394,-0.010108271453182802,-0.01323897507820796,-0.012438515617557962,-0.011767296540173586,-0.012474768608578738,-0.05248048249478809,-0.01613769264917132,0.007541200212837264,0.01826822972932817,-0.10372720184345376,0.04195539602133203,0.011525892323630783,0.031067145117757055,0.11734461650127402,-0.007787909823154043,0.004408895139212909,-0.05112406039413291,0.04408297260592838,-0.0004081149132166328
dst_bytes,0.036892202512224435,0.12782669198258612,1.0,,,,0.12700231675290902,,0.42200010263194865,0.23736281123449493,,,,,,,,,,-0.23721115199038378,-0.08752977653761988,-0.2017739509485878,-0.20217003870673947,-0.11867212607454894,-0.11390255376891056,0.26859354774211325,-0.11256819287355317,0.012880004988178706,-0.20926608101477875,0.32325464386280256,0.3113219014050447,-0.13136882086393872,-0.08087903309132902,-0.015249215221674587,-0.20882941307050423,-0.20872865537339946,-0.12073017929225932,-0.10937939100331193,0.16228196613998525,-0.12282694648824893,0.0860835339545036,-0.029283596564136746,-0.0014057181074752325,-0.0306325721307329,-0.026560503269860595,-0.02700826984745047,-0.023255170729512564,-0.023637777659284237,-0.02273434509500342,-0.023104698228102356,-0.02283583418474827,-0.09188649258012907,-0.020742905485373327,-0.06857241832134513,-0.05582302978239163,-0.021932508192589382,-0.02168141228974166,-0.04028846544446006,0.009724035440530597,-0.0768959669980257,-0.02265681458112448,-0.0014057181074750905,-0.0213576315751766,0.4210417414211185,-0.0009939888609314385,-0.02293154144446092,-0.0014057181074752598,-0.024038787935915473,-0.026124357992301363,-0.020719125250909125,-0.017208039919065297,-0.020159493499383736,-0.02170435740028933,-0.019612019436443983,-0.020862680456479894,-0.021146907981311882,-0.020035793773084974,-0.018541441757408322,-0.018939084359664432,-0.018886543627642582,-0.02501144377948161,-0.017121289972334947,-0.012431038259193703,-0.06469305907082855,-0.0015112079775333853,-0.008756694397977311,0.004317919766963465,-0.008247951444718182,-0.16055054997822368,-0.0028115031717063145,-0.008781356122312844,-0.00922098495418729,-0.0079924002152433,-0.06425959586740387,-0.015573476375888878,-0.015521597822525077,-0.01943121823367415,-0.023233733297117806,-0.02175017609865537,0.10631269384435428,-0.0017216528762935156,-0.002811503171706489,-0.025476867499913715,-0.0031433810599551973,-0.024446586708096837,-0.02784622102944939,-0.026162565902109414,-0.024750760567887622,-0.026238818458261915,-0.11038472663295425,-0.03353482383835344,-0.010091971747558163,-0.021513767440219853,-0.21817979540296645,0.13705126257403683,0.043578883162369166,0.008654237056191425,0.2603718815072208,-0.016380685847494986,0.28951657200409125,-0.11164290854419501,0.0002901742791459365,0.015673996017212106
land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrong_fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,0.021273730544883823,0.3799728351445703,0.12700231675290902,,,,1.0,,0.16893757713540972,0.42363002353442514,,,,,,,,,,-0.10053883539432427,-0.04988221601692416,-0.08228475179330455,-0.08235399810970653,-0.035475811496686625,-0.02868004657303785,0.10362389534205188,-0.03013944240399329,-0.017069830819733144,-0.043160700193347695,-0.039057191642075564,0.013809923684556866,-0.028851861706185124,-0.03869752242328633,-0.034278471789904896,-0.08573252873766703,-0.08529454978145729,-0.03599339869998714,-0.037022593784175696,0.06702042683133408,-0.05173235708719725,-0.0024515773718758655,-0.011682781160004976,-0.0005608155742186432,-0.01230143478960757,-0.01059639469224527,-0.010775032549228748,-0.009277722081592613,-0.009430364296151867,-0.00907027434871294,-0.00921769061308084,-0.009144227461971499,-0.039141155907006,-0.008275531359099718,-0.02735717776696071,-0.022270769890115033,-0.00875004178335922,-0.00864986629856389,-0.014868957756271846,0.6632007507309529,-0.02134800390163185,-0.008691429673756695,-0.0005608155742180901,-0.008520692983917971,0.01366281202637904,-0.00039655492153489714,-0.009148609180234659,-0.0005608155742187906,-0.008850229022474192,-0.01042239318866814,-0.008265958916722329,-0.0068652005954009864,-0.008042692103523033,-0.008659020321173357,-0.008227559309206569,-0.008323230708693112,-0.008436624156279424,-0.007993341716257235,-0.007397165371000779,-0.007555806113516876,-0.007534844826417622,-0.009978392631217912,-0.0068305914365865495,-0.005143349616163685,-0.02516522553488817,-0.0008867378398115407,-0.00350334910674348,-0.0059566048240381085,-0.0032949219977846935,-0.06448056133565928,-0.0011216578610412425,-0.0035033491067426367,-0.0036787403850225974,-0.003197940447857446,-0.03059909961546398,-0.006213086428840312,-0.006547279239758957,-0.006930357987440461,-0.009269169551834386,-0.008677299832196669,0.015412687198745681,-0.0006868587245810997,-0.0011216578610412436,-0.008597851360148057,-0.0012540615680703083,-0.009753041160583967,-0.011109579841932712,-0.010437636352082008,-0.009874392259982297,-0.01046805754454598,-0.04403832711719113,-7.094896946032033e-05,-0.0040262232523782466,0.006099673858648112,-0.08669044001811095,0.005006132641460928,0.068758661229734,0.005233322552984027,0.0980747404802999,-0.00556115259290825,-0.00663709379654029,-0.043463322631284274,0.27571641527410656,0.07267175884059728
num_failed_logins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logged_in,-0.06453668309289742,0.16327494066039974,0.42200010263194865,,,,0.16893757713540972,,1.0,0.12549338840223265,,,,,,,,,,-0.5397545764345225,-0.20105050851986012,-0.4919249950223618,-0.4901670065952917,-0.28751429575651566,-0.2835315069381296,0.6005357192354351,-0.22132312553058459,0.13107431058415228,-0.401084046097619,0.6243645699931584,0.60405830600257,-0.2560645568234052,-0.16099393806460266,-0.05283186408182594,-0.49147810664625896,-0.49326399544624566,-0.2759720966885723,-0.27280574136836444,0.3853504617038202,-0.2974479368620821,0.010867765770842008,-0.0671730295795976,-0.0032245473607588906,-0.04228292854232626,-0.06092658283598906,-0.06195370522151699,-0.053344549665280086,-0.05422220369768789,-0.051898832692861246,-0.052750450392820954,-0.04579652541982586,-0.2250517224898189,-0.04730516247825095,-0.15729683593238977,-0.12805128026488932,-0.050310521740501025,-0.04973453810152608,-0.09652416148922786,0.06842209425261607,0.09094410837048897,-0.050732422791501426,-0.0032245473607546353,-0.04899182429343832,0.6995565752126235,-0.0022800902549991605,-0.05260218321836147,-0.0032245473607563197,-0.057010616951667106,-0.05992611830732277,-0.0475271679930841,-0.039473162798296955,-0.04624344042508062,-0.04978717141067559,-0.046470433331155955,-0.047856466276161774,-0.048508449849487344,-0.04595968821055068,-0.04253182538182824,-0.04314070895152113,-0.04332344734297304,-0.057373227675508516,-0.03759775914261839,-0.029572956231471846,-0.13038515863140648,-0.005098517752507941,-0.019490791165248305,0.029294665725454493,-0.018251157564690725,-0.37048965442621185,-0.006449248312213783,-0.0201433691132234,-0.021151824494109014,-0.016957693919911056,0.280871911838956,-0.03572367167972906,-0.03535265692208439,-0.04457286502770418,-0.05329537478774186,-0.04989227396429127,-0.01153053587516637,-0.003949263517951196,-0.0064492483122118825,-0.05778378030598941,-0.007210536057553099,-0.05607751385564214,-0.06325644423448726,-0.06001376263236692,-0.056775251909598985,-0.06018867677584898,-0.2532092153031259,-0.07058047724570744,-0.023149762879449597,-0.09341797557152678,-0.5004417804693294,0.05271872514156545,0.03362811332756156,0.019436068532510408,0.6417379072030742,-0.03757531260073668,0.6901707395792327,-0.25375968722084763,0.09448606915691381,0.020316019022392565
num_compromised,0.06208115847637733,0.6033630376924559,0.23736281123449493,,,,0.42363002353442514,,0.12549338840223265,1.0,,,,,,,,,,-0.07176251135461482,-0.03483757376610286,-0.0603776017556252,-0.060295574276437364,-0.0208267103088055,-0.008850473069138179,0.07667836088684414,-0.03072579581364096,-0.004730940643406018,-0.03713308463250574,-0.00439561478645021,0.059499755382424815,-0.02777066870894878,-0.03417920665019115,-0.0165984035663018,-0.04681218199430268,-0.05079568832366419,-0.022846633502137708,-0.02050023375974299,0.048358935161415845,-0.037327749469961376,-0.0024454481631028414,-0.008429771091162185,-0.0004046593743643479,0.0011388401557919348,-0.0076458833238479615,-0.0077747803922864735,-0.006694388290282643,-0.006804528068674525,-0.006544703307093399,-0.00665107227411249,-0.006840854208538158,-0.0282425032210465,-0.005971252397864696,-0.01973971292601379,-0.016069589049657152,-0.006313637845492547,-0.006241355706970438,-0.012113144087945884,-0.012067871483855065,-0.023676026632576692,-0.006525755361588772,-0.00040465937436406826,-0.006148150034585042,0.08551333129324284,-0.00028613625196149283,-0.006601226209421682,-0.0004046593743634908,-0.005087402147655143,-0.007520331640159939,-0.005964345352611764,-0.004953620950505943,-0.0058032460302928895,-0.006247960839278763,-0.004581074709617572,-0.006005670109934164,-0.006087489737754914,-0.005767637003441664,-0.005337462882084924,-0.005451930929292779,-0.005436806204307331,-0.007199960744548321,-0.004928648533196368,-0.0037112104825519987,-0.019227000799020934,-0.0006398302685878076,-0.0025278596438588203,-0.002927148209249403,-0.0023774679867856084,-0.04652628209388982,-0.0008093380233453318,-0.0025278596438592007,-0.0026544141266570368,-0.00230749044850487,-0.02217248860042742,-0.004483084605242741,-0.0050522880938237875,-0.005593599863115312,-0.006688217168268318,-0.006261150514868064,0.1860602435058664,-0.0004956064605599385,-0.0008093380233447381,-0.0073365234525849116,-0.0009048746020547724,-0.007037357226882029,-0.008016174719403054,-0.007531330423491528,-0.007124918739517743,-0.007553280992065936,-0.03177608240313323,-0.009238536677759843,-0.0029051421844401323,0.011668148951993477,-0.06280668865061573,0.019502457410949983,-0.0007377790818280371,0.0020015869175298313,0.07302158806556998,-0.004715453298525557,-0.04994627382268654,-0.031338554109601,-0.00549315781519099,0.08735392172136637
root_shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su_attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_file_creations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_access_files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_outbound_cmds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_host_login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_guest_login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,-0.0992430564177662,-0.10526978623284255,-0.23721115199038378,,,,-0.10053883539432427,,-0.5397545764345225,-0.07176251135461482,,,,,,,,,,1.0,0.4694915448479858,0.45755540951367485,0.45209134778818677,0.16105608702717336,0.16299159660916251,-0.6280258198254428,0.22263527565534122,-0.2630605130621182,0.4680918147415388,-0.39597212336348075,-0.4739573742095836,0.1674555872470125,-0.13822841055285406,-0.22777264666217695,0.4590463308184529,0.4608085374453208,0.17832560578271067,0.16770859115488623,-0.048548851220967096,-0.008852878085467092,-0.014379768495327431,0.09353401809154636,0.014854633807419894,0.06495259199171256,0.08849436776873626,0.022454213145460002,0.07160169260315812,0.07363837911358315,0.07477710050853603,0.07468101208935572,0.07504595787764297,0.06290460281648615,0.06369490495874662,-0.14070358234335648,0.33206752445385646,0.01935000303627328,0.018230837376365848,-0.012658782795756822,-0.01820101051109635,-0.12143277410982821,0.07175691333333949,0.014819836664558786,0.0756176969537394,-0.4291102280159031,0.010454560210090126,0.025247390664952758,0.014819836664570117,0.09108777120662978,0.095138580958622,0.015288578239214295,0.011785788064718417,0.034584908469746746,0.07272465937208325,0.01733531186443017,0.06871962829388563,0.06491086148149965,0.05935108527292673,0.051785641653881664,0.057667246489118605,0.05297523839054826,0.022443260388042435,0.04314252747896645,-0.025982780952571546,0.08748156053236548,0.0023379188370374433,0.030394977519951325,-0.009497931541940407,0.00680751522689199,0.1928178830964477,-0.005479473589670647,0.022655917514327027,0.02024245725166219,0.005049130860121925,-0.1694720779495646,0.033629675148164395,0.042268321684430586,0.05809623300781713,0.06568237741858376,0.06903380594910323,-0.029844734730308534,-0.001666682010553006,-0.005679561926231639,0.06447536845709655,-0.006443367182903221,-0.0442190390706704,0.023851394525688716,0.08455524894450661,0.08088926176187959,0.08099675102931081,0.19903261456400057,0.06474275349270638,0.010327156319190758,-0.08311177498654303,0.4615910750312481,-0.03838104908516713,-0.021662485340148648,-0.013409840437937567,-0.5183455184288339,-0.03290310089511204,-0.5764442206834949,-0.019673863932082782,-0.06452712431066158,-0.013895623493466838
srv_count,-0.05030889819196778,-0.03608301504759391,-0.08752977653761988,,,,-0.04988221601692416,,-0.20105050851986012,-0.03483757376610286,,,,,,,,,,0.4694915448479858,1.0,-0.14913561315666535,-0.14828040459441125,-0.11435479771179766,-0.11462746481624106,0.19181909063702765,-0.10943733739275441,-0.07742296491668943,0.15131982072950814,0.2055001162748457,0.1843423720560794,-0.1079110336183429,0.15832685129736085,-0.06107102669543202,-0.14679017946536208,-0.14593339158050853,-0.10213370268585632,-0.11371186339463016,-0.5325171731973892,0.348375678378177,-0.00881396676785075,-0.019374510631036863,-0.0014814145806014178,-0.024256410812478355,-0.018026904408133648,-0.01813928199298246,-0.01606195281838704,-0.016619000502800158,-0.015701753038481543,-0.015951115577405504,-0.01719840884429992,0.4273856239438624,-0.013693920999801002,-0.018975150169363096,0.6424725542018924,-0.013527685660645791,-0.013554105550108993,-0.03359313244402839,-0.039420180151792286,-0.07320239863205853,-0.01497638062184174,-0.0014814145805999816,-0.013987018012723996,-0.1502839143174459,-0.0010475141379414853,-0.01415856989343538,-0.0014814145806025933,-0.014959717547183246,-0.01617579493361039,-0.012992662419544923,-0.010498800591098659,-0.01286552506556865,-0.01429892707630072,-0.013111624800620076,-0.014117249619915902,-0.014514358992471915,-0.01365958612223174,-0.01245254915290874,-0.01267697326144508,-0.012718062187655683,-0.016682203122833618,-0.011275657529696902,-0.013558932978800958,-0.0017618806093861402,-0.0023423500085439433,-0.006099698784020468,-0.015487226206477822,-0.005815370729482403,-0.10683930549153042,-0.0024747210223295423,-0.00685928679464446,-0.00664512199538566,-0.005677257972548811,-0.08911677107172561,-0.009994105781297712,-0.011089048815126094,-0.01209566930537596,-0.01473492327911263,-0.014157023501113928,-0.04077787887289321,-0.001746032683551688,-0.002921055834840673,-0.017917220314643725,-0.003312648894420884,-0.023990141358062895,-0.01860756723965809,-0.016850346965498135,-0.016365491772607346,-0.017543066900382362,-0.09336895889414751,-0.030087120218408196,-0.01016877374108368,-0.05085296072363056,-0.14367318046391003,-0.018116508377721507,-0.010641009149089121,-0.006003724422603483,0.2114076224929206,-0.015914547263750224,0.0019630619269999,-0.0742930014104641,-0.03135290339172684,-0.007478656251404962
